prompt_id,label,semantic_plan_created,problem_state_created,structural_match,semantic_structure_pass,technology_structure_pass,route_attribute_binding_pass,route_association_pass,solver_aggregate_pass,balance_residual_pass,formulation_completeness_pass,solve_correctness_pass,reasoning_ready_pass,primary_success,failure_type,alias_structural_match,blocking_error_count,alias_blocking_error_count,benign_extra_name_fields,benign_identifier_mismatches,solver_ready_expected,solver_ready_actual,solver_ready_correct,solve_success,objective_match,transport_flow_match,balance_match,explanation_generated,passed_checks,total_applicable_checks
canonical,Canonical DNR policy wording,True,True,True,True,True,True,True,True,True,True,True,True,True,none,True,0,0,12,12,True,True,True,True,True,True,True,False,9,9
paraphrased,Paraphrased DNR policy wording,True,True,True,True,True,True,True,True,True,True,True,True,True,none,True,0,0,10,10,True,True,True,True,True,True,True,False,9,9
