prompt_id,metric,expected,actual,pass,details
canonical,max_abs_balance_residual,<= 1e-06,0.0,True,"{""black_river_falls:manure"": 0.0, ""eau_claire:manure"": 0.0, ""menomonie:manure"": 0.0}"
canonical,sum_abs_balance_residual,<= 1e-06,0.0,True,
canonical,balance_violation_count,0,0.0,True,
paraphrased,max_abs_balance_residual,<= 1e-06,0.0,True,"{""Black_River_Falls:Manure"": 0.0, ""Eau_Claire:Manure"": 0.0, ""Menomonie:Manure"": 0.0}"
paraphrased,sum_abs_balance_residual,<= 1e-06,0.0,True,
paraphrased,balance_violation_count,0,0.0,True,
